mall1 POLYGON ((-122.2 47.5, -122.2 47.6, -122.3 47.6, -122.3 47.5, -122.2 47.5))
mall2 POLYGON ((-122.24 47.41, -122.24 47.53, -122.26 47.53, -122.26 47.41, -122.24 47.41))
mall3 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall4 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall5 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall6 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall7 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall8 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall9 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall10 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall11 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall12 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall13 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall14 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall15 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall16 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall17 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall18 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall19 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall20 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall21 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall22 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall23 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
