Object_Id  Timestamp Type Lat Lng 

0 0 newpoint 47.5743185 -122.2057696
1 0 newpoint 47.5960472 -122.3239796
2 0 newpoint 47.4333571 -122.2765572
3 0 newpoint 47.5976404 -121.9717061
4 0 newpoint 47.6236499 -122.2919697
5 0 newpoint 47.5196569 -122.2763619
6 0 newpoint 47.650415 -122.378946
7 0 newpoint 47.6157433 -122.1492064
8 0 newpoint 47.6782313 -122.1428073
9 0 newpoint 47.403758 -122.191893
10 0 newpoint 47.5357916 -122.3855516
11 0 newpoint 47.5589674 -122.0249954
12 0 newpoint 47.628101 -122.1397733
13 0 newpoint 47.586963 -122.0848815
14 0 newpoint 47.4428881 -122.1240386
15 0 newpoint 47.5836004 -122.3554573
16 0 newpoint 47.6275546 -122.1422241
17 0 newpoint 47.4628208 -122.2885133
18 0 newpoint 47.5749912 -122.1352117
19 0 newpoint 47.488951 -122.15214
20 0 newpoint 47.6900348 -122.0925048
21 0 newpoint 47.5575856 -122.3801293
22 0 newpoint 47.6430548 -122.1143638
23 0 newpoint 47.493771 -122.0494826
24 0 newpoint 47.4796592 -122.1250673
25 0 newpoint 47.5699544 -122.2910477
26 0 newpoint 47.6583976 -122.3964991
27 0 newpoint 47.5427564 -122.3918687
28 0 newpoint 47.6091298 -121.9807754
29 0 newpoint 47.6008668 -122.2920432
30 0 newpoint 47.4266737 -122.2414679
31 0 newpoint 47.6093798 -122.1746422
32 0 newpoint 47.4801043 -122.2721065
33 0 newpoint 47.5700313 -122.3262426
34 0 newpoint 47.7092347 -122.0904358
35 0 newpoint 47.3970549 -122.3288507
36 0 newpoint 47.5469144 -122.0964348
37 0 newpoint 47.6245532 -122.2268876
38 0 newpoint 47.4450114 -122.1588405
39 0 newpoint 47.569127 -122.041499
40 0 newpoint 47.5622434 -122.1495824
41 0 newpoint 47.5927212 -122.240481
42 0 newpoint 47.4172394 -122.3276173
43 0 newpoint 47.5236995 -122.0539662
44 0 newpoint 47.6592054 -122.3386063
45 0 newpoint 47.440158 -122.172027
46 0 newpoint 47.5870099 -121.9855758
47 0 newpoint 47.6327773 -122.1807675
48 0 newpoint 47.5497155 -122.2640387
49 0 newpoint 47.6121764 -122.137017
0 1 point 47.5741131 -122.2057317
1 1 point 47.5960512 -122.3237642
2 1 point 47.4333858 -122.2763775
3 1 point 47.5978681 -121.9715428
4 1 point 47.6236454 -122.2911578
5 1 point 47.5190635 -122.2763929
6 1 point 47.6503264 -122.3788789
7 1 point 47.6160032 -122.1492239
8 1 point 47.6785294 -122.1431192
9 1 point 47.403757 -122.190142
10 1 point 47.5357994 -122.3866159
11 1 point 47.5589621 -122.0244144
12 1 point 47.628198 -122.1397938
13 1 point 47.5870206 -122.0842439
14 1 point 47.442772 -122.1252403
15 1 point 47.5835376 -122.3553569
16 1 point 47.6274852 -122.1422498
17 1 point 47.4627522 -122.2869549
18 1 point 47.5752135 -122.1355134
19 1 point 47.488971 -122.152194
20 1 point 47.690017 -122.0918861
21 1 point 47.5576262 -122.3801722
22 1 point 47.6429346 -122.1143371
23 1 point 47.4936064 -122.048974
24 1 point 47.4796225 -122.1250287
25 1 point 47.5698096 -122.2907554
26 1 point 47.6583984 -122.3949802
27 1 point 47.5428838 -122.3920404
28 1 point 47.6092961 -121.9808183
29 1 point 47.6008658 -122.2913965
30 1 point 47.4266809 -122.2426846
31 1 point 47.6082952 -122.1749807
32 1 point 47.4803131 -122.2720634
33 1 disappearpoint 47.5697741 -122.325628
34 1 point 47.7093723 -122.0905862
35 1 point 47.3970452 -122.328844
36 1 point 47.5469626 -122.0966389
37 1 point 47.6256137 -122.2270381
38 1 point 47.4450114 -122.1593555
39 1 point 47.569051 -122.041407
40 1 point 47.5623108 -122.1496481
41 1 point 47.5925096 -122.2408363
42 1 point 47.4172606 -122.3275768
43 1 point 47.523883 -122.0536371
44 1 point 47.6592039 -122.3386143
45 1 disappearpoint 47.440971 -122.17019
46 1 point 47.5869842 -121.9855044
47 1 point 47.6327988 -122.1805317
48 1 point 47.5497072 -122.263817
49 1 point 47.6114354 -122.1361181
0 2 point 47.5739548 -122.2056886
1 2 point 47.5958282 -122.3237696
2 2 point 47.4323858 -122.2764587
3 2 point 47.5981508 -121.9714502
4 2 point 47.622488 -122.2911798
5 2 point 47.5190611 -122.2761468
6 2 point 47.6484667 -122.3788803
7 2 point 47.6161993 -122.1495394
8 2 disappearpoint 47.6789007 -122.142723
9 2 disappearpoint 47.404036 -122.190142
10 2 point 47.5358043 -122.3872892
11 2 point 47.558972 -122.024278
12 2 point 47.6289524 -122.1397428
13 2 point 47.5870083 -122.0836513
14 2 point 47.4424585 -122.1251029
15 2 point 47.5836082 -122.3552741
16 2 point 47.6274215 -122.1422412
17 2 point 47.4626597 -122.2855877
18 2 point 47.5753225 -122.135749
19 2 point 47.489008 -122.152241
20 2 point 47.690368 -122.0918986
21 2 point 47.5576899 -122.3801894
22 2 point 47.6427503 -122.1143371
23 2 point 47.4936079 -122.0484076
24 2 point 47.4795543 -122.1250445
25 2 point 47.5697434 -122.2906372
26 2 point 47.657684 -122.3949547
27 2 point 47.5429418 -122.3921691
28 2 point 47.609448 -121.9808827
29 2 point 47.6008649 -122.2913217
30 2 point 47.4266853 -122.2433991
31 2 point 47.6082315 -122.1749721
32 2 point 47.4805641 -122.271997
34 2 point 47.7094532 -122.0906932
35 2 point 47.3970378 -122.3288354
36 2 point 47.5469694 -122.0969061
37 2 point 47.6258318 -122.2269456
38 2 point 47.4449211 -122.1601068
39 2 disappearpoint 47.569272 -122.041416
40 2 point 47.5623693 -122.1496429
41 2 point 47.5924507 -122.2409455
42 2 point 47.417286 -122.3275371
43 2 point 47.5250826 -122.0519781
44 2 point 47.6592017 -122.3386219
46 2 point 47.5869755 -121.985349
47 2 point 47.6327741 -122.1802934
48 2 point 47.5496614 -122.2635583
49 2 point 47.611051 -122.1356948
0 3 point 47.5734145 -122.2055414
1 3 point 47.5955294 -122.3237724
2 3 point 47.4313148 -122.2765457
3 3 point 47.5989366 -121.9714611
4 3 point 47.6224908 -122.291114
5 3 disappearpoint 47.5177803 -122.2751927
6 3 point 47.6474757 -122.3788348
7 3 point 47.6166096 -122.1495467
10 3 point 47.5350915 -122.3873322
11 3 point 47.5590263 -122.0242122
12 3 point 47.6293979 -122.1397441
13 3 point 47.5870253 -122.0830263
14 3 point 47.4421508 -122.1250257
15 3 point 47.5836753 -122.3552054
16 3 disappearpoint 47.6274228 -122.1419797
17 3 point 47.4626584 -122.2851811
18 3 point 47.5754459 -122.1360724
19 3 point 47.489047 -122.152258
20 3 point 47.6904556 -122.0919209
21 3 point 47.5589952 -122.3801635
22 3 point 47.6425045 -122.1143291
23 3 point 47.4935401 -122.0482682
24 3 point 47.4795234 -122.1251238
25 3 point 47.5694977 -122.2903851
26 3 point 47.6576831 -122.3947562
27 3 point 47.5429244 -122.3922635
28 3 point 47.609592 -121.9810404
29 3 point 47.6008663 -122.2903187
30 3 point 47.4266762 -122.2443047
31 3 point 47.608199 -122.1748916
32 3 point 47.4808101 -122.2719611
34 3 disappearpoint 47.7097801 -122.0910427
35 3 point 47.3970318 -122.328824
36 3 point 47.5469806 -122.0971772
37 3 disappearpoint 47.626069 -122.2272374
38 3 point 47.4449791 -122.1606647
40 3 point 47.5624117 -122.1496039
41 3 point 47.592212 -122.2406452
42 3 point 47.417337 -122.3275198
43 3 point 47.5253647 -122.0524119
44 3 point 47.6591989 -122.338629
46 3 point 47.5868906 -121.98497
47 3 point 47.632729 -122.1800792
48 3 point 47.5495294 -122.2632398
49 3 point 47.6108973 -122.1356208
0 4 point 47.5732777 -122.2055298
1 4 point 47.5949936 -122.3237687
2 4 point 47.4307275 -122.2766407
3 4 point 47.6003614 -121.9714447
4 4 point 47.622512 -122.2906189
6 4 point 47.6474708 -122.378933
7 4 point 47.6170217 -122.1495498
10 4 point 47.5351033 -122.3879346
11 4 point 47.5600219 -122.0247915
12 4 point 47.6293979 -122.1394866
13 4 point 47.5876696 -122.0835969
14 4 point 47.4417561 -122.1250257
15 4 point 47.5838483 -122.3550483
17 4 point 47.4626825 -122.2848474
18 4 point 47.5753301 -122.1367334
19 4 point 47.489376 -122.152258
20 4 point 47.6910264 -122.0920663
21 4 point 47.5599451 -122.3801721
22 4 point 47.6423021 -122.1143344
23 4 point 47.4934727 -122.0481297
24 4 point 47.4795381 -122.1252028
25 4 point 47.5686198 -122.2897068
26 4 point 47.6576689 -122.3928878
27 4 point 47.5428664 -122.3923579
28 4 point 47.6097446 -121.9811831
29 4 point 47.6008142 -122.290147
30 4 point 47.4271337 -122.244294
31 4 point 47.6082008 -122.1747817
32 4 point 47.4815417 -122.2717192
35 4 point 47.3970277 -122.3288112
36 4 point 47.54702 -122.0973159
38 4 point 47.4451649 -122.1610596
40 4 point 47.5624397 -122.1495352
41 4 point 47.5917061 -122.2400087
42 4 point 47.4185225 -122.3275001
43 4 disappearpoint 47.5267464 -122.0519244
44 4 point 47.6591955 -122.3386356
46 4 point 47.5868201 -121.9843695
47 4 point 47.6325998 -122.1796533
48 4 point 47.5493372 -122.262967
49 4 point 47.6102798 -122.1355835
0 5 point 47.573236 -122.2055262
1 5 point 47.5950005 -122.3244258
2 5 point 47.4305673 -122.2766624
3 5 disappearpoint 47.6006001 -121.9715046
4 5 disappearpoint 47.6215293 -122.2906228
6 5 point 47.6474639 -122.3790184
